"","Date","CPI","Gold"
"1",1257,0.4414265,0.889
"2",1258,0.475071,0.889
"3",1259,0.475071,0.889
"4",1260,0.475071,0.889
"5",1261,0.475071,0.889
"6",1262,0.475071,0.889
"7",1263,0.3292575,0.889
"8",1264,0.3343395,0.889
"9",1265,0.3222549,1.067
"10",1266,0.3343395,1.067
"11",1267,0.3343395,1.067
"12",1268,0.281973,1.067
"13",1269,0.3343395,1.067
"14",1270,0.3689866,1.067
"15",1271,0.3947618,1.067
"16",1272,0.5235784,1.067
"17",1273,0.3947623,1.067
"18",1274,0.3826338,1.067
"19",1275,0.4027827,1.067
"20",1276,0.386644,1.067
"21",1277,0.3906542,1.067
"22",1278,0.4148134,1.067
"23",1279,0.3786236,1.067
"24",1280,0.3786236,1.067
"25",1281,0.3746134,1.067
"26",1282,0.4189214,1.067
"27",1283,0.4470908,1.067
"28",1284,0.4832806,1.067
"29",1285,0.3343155,1.067
"30",1286,0.3664951,1.067
"31",1287,0.3664951,1.067
"32",1288,0.2900075,1.067
"33",1289,0.277879,1.067
"34",1290,0.3221871,1.067
"35",1291,0.4269419,1.067
"36",1292,0.386644,1.067
"37",1293,0.3746134,1.067
"38",1294,0.4430806,1.067
"39",1295,0.5275886,1.067
"40",1296,0.4189214,1.067
"41",1297,0.3746134,1.067
"42",1298,0.4269419,1.067
"43",1299,0.386644,1.067
"44",1300,0.4551112,1.067
"45",1301,0.3584747,1.067
"46",1302,0.3746134,1.067
"47",1303,0.3584747,1.067
"48",1304,0.3786236,1.067
"49",1305,0.3906542,1.067
"50",1306,0.4027827,1.067
"51",1307,0.3786236,1.067
"52",1308,0.4229316,1.067
"53",1309,0.4792704,1.067
"54",1310,0.5437273,1.067
"55",1311,0.4954091,1.067
"56",1312,0.4349623,1.067
"57",1313,0.4067929,1.067
"58",1314,0.451101,1.067
"59",1315,0.5316967,1.067
"60",1316,0.8700224,1.067
"61",1317,0.8659144,1.067
"62",1318,0.6203128,1.067
"63",1319,0.4792704,1.067
"64",1320,0.4269419,1.067
"65",1321,0.4873886,1.067
"66",1322,0.5678865,1.067
"67",1323,0.6646208,1.067
"68",1324,0.5518456,1.067
"69",1325,0.5115478,1.067
"70",1326,0.4994193,1.067
"71",1327,0.386644,1.067
"72",1328,0.386644,1.067
"73",1329,0.4792704,1.067
"74",1330,0.4832806,1.067
"75",1331,0.5397171,1.067
"76",1332,0.5275886,1.067
"77",1333,0.4470908,1.067
"78",1334,0.3987725,1.067
"79",1335,0.386644,1.067
"80",1336,0.4067929,1.067
"81",1337,0.4470908,1.067
"82",1338,0.342336,1.067
"83",1339,0.3181768,1.067
"84",1340,0.386644,1.067
"85",1341,0.3463462,1.067
"86",1342,0.342336,1.067
"87",1343,0.3383257,1.333
"88",1344,0.3906542,1.17
"89",1345,0.3947623,1.17
"90",1346,0.3544644,1.244
"91",1347,0.4390703,1.244
"92",1348,0.4672397,1.244
"93",1349,0.3906542,1.251
"94",1350,0.4108032,1.251
"95",1351,0.5397171,1.34
"96",1352,0.6444719,1.34
"97",1353,0.5558558,1.34
"98",1354,0.4712499,1.34
"99",1355,0.4632295,1.34
"100",1356,0.4873886,1.34
"101",1357,0.5357069,1.34
"102",1358,0.559866,1.34
"103",1359,0.5075375,1.34
"104",1360,0.5437273,1.34
"105",1361,0.5275886,1.34
"106",1362,0.6162047,1.34
"107",1363,0.624323,1.34
"108",1364,0.6081843,1.34
"109",1365,0.5760047,1.34
"110",1366,0.4873886,1.34
"111",1367,0.5518456,1.34
"112",1368,0.559866,1.34
"113",1369,0.6041741,1.34
"114",1370,0.7411085,1.34
"115",1371,0.6605128,1.34
"116",1372,0.5316967,1.34
"117",1373,0.5275886,1.34
"118",1374,0.5034295,1.34
"119",1375,0.5034295,1.34
"120",1376,0.5880354,1.34
"121",1377,0.451101,1.34
"122",1378,0.3826338,1.34
"123",1379,0.3786236,1.34
"124",1380,0.4269419,1.34
"125",1381,0.4792704,1.34
"126",1382,0.4470908,1.34
"127",1383,0.4349623,1.34
"128",1384,0.4672397,1.34
"129",1385,0.451101,1.34
"130",1386,0.4189214,1.34
"131",1387,0.4027827,1.34
"132",1388,0.4108032,1.34
"133",1389,0.4027827,1.34
"134",1390,0.4269419,1.34
"135",1391,0.5357069,1.34
"136",1392,0.4189214,1.34
"137",1393,0.4027827,1.34
"138",1394,0.4067929,1.34
"139",1395,0.3746134,1.34
"140",1396,0.3987725,1.34
"141",1397,0.4672397,1.34
"142",1398,0.4873886,1.34
"143",1399,0.4551112,1.34
"144",1400,0.4189214,1.34
"145",1401,0.5235784,1.34
"146",1402,0.5115478,1.34
"147",1403,0.4792704,1.34
"148",1404,0.3987725,1.34
"149",1405,0.3987725,1.34
"150",1406,0.4027827,1.34
"151",1407,0.3987725,1.34
"152",1408,0.4309521,1.34
"153",1409,0.4832806,1.43
"154",1410,0.5235784,1.43
"155",1411,0.4269419,1.43
"156",1412,0.4148134,1.489
"157",1413,0.4349623,1.489
"158",1414,0.4349623,1.489
"159",1415,0.4632295,1.489
"160",1416,0.4994193,1.489
"161",1417,0.5195682,1.489
"162",1418,0.4591214,1.489
"163",1419,0.3826338,1.489
"164",1420,0.4108032,1.489
"165",1421,0.3746134,1.489
"166",1422,0.3906542,1.489
"167",1423,0.4349623,1.489
"168",1424,0.4148134,1.489
"169",1425,0.4390703,1.489
"170",1426,0.4148134,1.489
"171",1427,0.386644,1.489
"172",1428,0.3987725,1.489
"173",1429,0.5115478,1.489
"174",1430,0.5558558,1.489
"175",1431,0.4632295,1.489
"176",1432,0.4108032,1.489
"177",1433,0.451101,1.489
"178",1434,0.4390703,1.489
"179",1435,0.4229316,1.489
"180",1436,0.3826338,1.489
"181",1437,0.3746134,1.489
"182",1438,0.515558,1.489
"183",1439,0.6203128,1.489
"184",1440,0.5638762,1.489
"185",1441,0.3746134,1.489
"186",1442,0.342336,1.489
"187",1443,0.3906542,1.489
"188",1444,0.4108032,1.489
"189",1445,0.3504542,1.489
"190",1446,0.3826338,1.489
"191",1447,0.4027827,1.489
"192",1448,0.4108032,1.489
"193",1449,0.4269419,1.489
"194",1450,0.4108032,1.489
"195",1451,0.4390703,1.489
"196",1452,0.3906542,1.489
"197",1453,0.3906542,1.489
"198",1454,0.4229316,1.489
"199",1455,0.3786236,1.489
"200",1456,0.4067929,1.489
"201",1457,0.3746134,1.489
"202",1458,0.3987725,1.489
"203",1459,0.3826338,1.489
"204",1460,0.3906542,1.489
"205",1461,0.4712499,1.489
"206",1462,0.4632295,1.489
"207",1463,0.3544644,1.489
"208",1464,0.3463462,1.862
"209",1465,0.4349623,2.01
"210",1466,0.4390703,2.01
"211",1467,0.4349623,2.01
"212",1468,0.4269419,2.01
"213",1469,0.4309521,2.01
"214",1470,0.4108032,2.01
"215",1471,0.4148134,2.01
"216",1472,0.4189214,2.01
"217",1473,0.3906542,2.01
"218",1474,0.3826338,2.01
"219",1475,0.3624849,2.01
"220",1476,0.342336,2.01
"221",1477,0.3261973,2.01
"222",1478,0.3584747,2.01
"223",1479,0.3906542,2.01
"224",1480,0.4148134,2.01
"225",1481,0.4632295,2.01
"226",1482,0.5840252,2.01
"227",1483,0.6524924,2.01
"228",1484,0.515558,2.01
"229",1485,0.3987725,2.01
"230",1486,0.3463462,2.01
"231",1487,0.4148134,2.01
"232",1488,0.4430806,2.01
"233",1489,0.4390703,2.01
"234",1490,0.4269419,2.01
"235",1491,0.451101,2.01
"236",1492,0.4148134,2.01
"237",1493,0.4712499,2.01
"238",1494,0.386644,2.01
"239",1495,0.3584747,2.01
"240",1496,0.3786236,2.01
"241",1497,0.4067929,2.01
"242",1498,0.386644,2.01
"243",1499,0.3987725,2.01
"244",1500,0.3786236,2.01
"245",1501,0.4309521,2.01
"246",1502,0.4913988,2.01
"247",1503,0.4591214,2.01
"248",1504,0.4309521,2.01
"249",1505,0.4148134,2.01
"250",1506,0.4269419,2.01
"251",1507,0.3947623,2.01
"252",1508,0.4027827,2.01
"253",1509,0.3705053,2.01
"254",1510,0.4148134,2.01
"255",1511,0.3906542,2.01
"256",1512,0.4067929,2.01
"257",1513,0.4832806,2.01
"258",1514,0.4752601,2.01
"259",1515,0.4309521,2.01
"260",1516,0.4430806,2.01
"261",1517,0.4470908,2.01
"262",1518,0.4672397,2.01
"263",1519,0.5195682,2.01
"264",1520,0.5518456,2.01
"265",1521,0.6726413,2.01
"266",1522,0.6444719,2.01
"267",1523,0.5477376,2.01
"268",1524,0.5357069,2.01
"269",1525,0.5195682,2.01
"270",1526,0.5357069,2.262
"271",1527,0.5920456,2.262
"272",1528,0.7209596,2.262
"273",1529,0.6403639,2.262
"274",1530,0.6806617,2.262
"275",1531,0.6203128,2.262
"276",1532,0.7209596,2.262
"277",1533,0.6806617,2.284
"278",1534,0.5840252,2.284
"279",1535,0.5275886,2.284
"280",1536,0.6605128,2.284
"281",1537,0.624323,2.284
"282",1538,0.5558558,2.284
"283",1539,0.5920456,2.284
"284",1540,0.6363537,2.284
"285",1541,0.6646208,2.284
"286",1542,0.6927902,2.284
"287",1543,0.68878,2.284
"288",1544,0.7169493,2.504
"289",1545,0.7692778,2.727
"290",1546,0.9988386,3
"291",1547,0.9303714,3
"292",1548,0.7773961,3
"293",1549,0.8619042,3.091
"294",1550,1.0552751,3.091
"295",1551,1.1479014,3.016
"296",1552,1.1116138,3.016
"297",1553,1.0431466,3.016
"298",1554,1.1116138,3.016
"299",1555,1.0874547,3.016
"300",1556,1.4902374,3.016
"301",1557,1.6473207,3.016
"302",1558,0.9263611,3.016
"303",1559,1.0271057,3.016
"304",1560,1.0673057,3.016
"305",1561,1.139881,3.016
"306",1562,1.0714138,3.016
"307",1563,1.0874547,3.016
"308",1564,1.1277525,3.016
"309",1565,1.1680503,3.016
"310",1566,1.1559219,3.016
"311",1567,1.1357729,3.016
"312",1568,1.1317627,3.016
"313",1569,1.1116138,3.016
"314",1570,1.2083482,3.016
"315",1571,1.0673057,3.016
"316",1572,1.0874547,3.016
"317",1573,1.1035934,3.016
"318",1574,1.1035934,3.016
"319",1575,1.1680503,3.016
"320",1576,1.244538,3.016
"321",1577,1.462068,3.016
"322",1578,1.4137498,3.031
"323",1579,1.3130052,3.031
"324",1580,1.3774621,3.031
"325",1581,1.3976111,3.031
"326",1582,1.3814724,3.031
"327",1583,1.3049847,3.016
"328",1584,1.3412723,3.016
"329",1585,1.3613234,3.016
"330",1586,1.41776,3.016
"331",1587,1.977626,3.016
"332",1588,1.3936008,3.016
"333",1589,1.4257804,3.016
"334",1590,1.5949922,3.016
"335",1591,1.8487121,3.016
"336",1592,1.4902374,3.016
"337",1593,1.4338987,3
"338",1594,1.5345454,3
"339",1595,2.0742626,3
"340",1596,2.0339647,3
"341",1597,2.7590323,3
"342",1598,2.3320904,3
"343",1599,1.9091588,3
"344",1600,1.8487121,3
"345",1601,2.1588684,3.045
"346",1602,1.8970303,3.045
"347",1603,1.804404,3.045
"348",1604,1.6271718,3.382
"349",1605,1.804404,3.382
"350",1606,1.8849997,3.382
"351",1607,1.8084142,3.382
"352",1608,2.042083,3.382
"353",1609,2.2514948,3.382
"354",1610,2.0259443,3.382
"355",1611,1.8648508,3.72
"356",1612,2.1105502,3.718
"357",1613,2.2111969,3.718
"358",1614,2.2836744,3.718
"359",1615,2.2595152,3.718
"360",1616,2.2636233,3.718
"361",1617,2.1628787,3.718
"362",1618,2.1105502,3.718
"363",1619,1.9896567,3.727
"364",1620,1.9534669,3.727
"365",1621,1.8567325,3.727
"366",1622,2.1065399,3.727
"367",1623,2.3682802,3.727
"368",1624,2.1870378,3.727
"369",1625,2.150848,3.727
"370",1626,2.2233254,3.727
"371",1627,1.9977749,3.727
"372",1628,1.8768814,3.727
"373",1629,2.0541136,3.727
"374",1630,2.3964496,3.727
"375",1631,2.7469038,3.727
"376",1632,2.3361007,3.727
"377",1633,2.2756539,3.727
"378",1634,2.4609066,3.727
"379",1635,2.4045679,3.727
"380",1636,2.3884292,3.727
"381",1637,2.5012044,3.727
"382",1638,2.8476484,3.727
"383",1639,2.4448657,3.727
"384",1640,2.1991663,3.727
"385",1641,2.3602598,3.727
"386",1642,2.2434743,3.727
"387",1643,2.2273356,3.727
"388",1644,2.1387195,3.727
"389",1645,2.3119415,3.727
"390",1646,2.2917926,3.727
"391",1647,2.6864571,3.727
"392",1648,3.1013683,3.727
"393",1649,3.3067699,3.727
"394",1650,3.3792473,3.727
"395",1651,2.8355199,3.727
"396",1652,2.6099694,3.727
"397",1653,2.3320904,3.727
"398",1654,2.1870378,3.727
"399",1655,2.1387195,3.727
"400",1656,2.2514948,3.727
"401",1657,2.4650146,3.727
"402",1658,2.601949,3.727
"403",1659,2.8193812,3.727
"404",1660,2.7549243,3.727
"405",1661,2.6099694,3.976
"406",1662,3.0973581,3.976
"407",1663,2.7187345,4.045
"408",1664,2.6462571,4.045
"409",1665,2.4810555,4.045
"410",1666,2.6744264,4.045
"411",1667,2.3239722,4.045
"412",1668,2.4247168,4.045
"413",1669,2.3038233,4.045
"414",1670,2.3239722,4.045
"415",1671,2.3964496,4.045
"416",1672,2.2434743,4.045
"417",1673,2.3562496,4.045
"418",1674,2.6179899,4.045
"419",1675,2.7831914,4.045
"420",1676,2.6261081,4.045
"421",1677,2.3844189,4.045
"422",1678,2.5495227,4.045
"423",1679,2.4730351,4.045
"424",1680,2.2877824,4.045
"425",1681,2.2836744,4.045
"426",1682,2.4165985,4.045
"427",1683,2.36427,4.045
"428",1684,2.2958028,4.045
"429",1685,2.6220001,4.045
"430",1686,2.2514948,4.045
"431",1687,2.3361007,4.045
"432",1688,2.2193152,4.045
"433",1689,2.1548582,4.045
"434",1690,2.0662421,4.045
"435",1691,1.9856464,4.045
"436",1692,2.1830276,4.045
"437",1693,2.6261081,4.045
"438",1694,2.7912119,4.045
"439",1695,2.597841,4.045
"440",1696,2.8073506,4.45
"441",1697,2.7912119,4.45
"442",1698,3.0892398,4.45
"443",1699,3.1133989,4.349
"444",1700,2.7025958,4.349
"445",1701,2.3602598,4.349
"446",1702,2.3441211,4.349
"447",1703,2.2193152,4.349
"448",1704,2.36427,4.349
"449",1705,2.2071867,4.349
"450",1706,2.3481313,4.349
"451",1707,2.1387195,4.349
"452",1708,2.2998131,4.349
"453",1709,2.8073506,4.349
"454",1710,3.2141435,4.349
"455",1711,3.5806386,4.349
"456",1712,2.5696716,4.349
"457",1713,2.3924394,4.349
"458",1714,2.5576409,4.349
"459",1715,2.601949,4.349
"460",1716,2.597841,4.349
"461",1717,2.4247168,4.248
"462",1718,2.3159518,4.305
"463",1719,2.4528861,4.255
"464",1720,2.5576409,4.308
"465",1721,2.4327372,4.264
"466",1722,2.2313459,4.251
"467",1723,2.1145604,3.8958
"468",1724,2.3722905,3.8958
"469",1725,2.4568964,3.8958
"470",1726,2.5656614,3.8917
"471",1727,2.4005576,3.8917
"472",1728,2.6139797,3.9417
"473",1729,2.7428936,3.9417
"474",1730,2.4125883,3.9
"475",1731,2.2273356,3.9
"476",1732,2.2434743,3.9125
"477",1733,2.191048,3.9042
"478",1734,2.086391,3.9083
"479",1735,2.1306991,3.9083
"480",1736,2.1708991,3.9
"481",1737,2.3401109,3.9
"482",1738,2.2676335,3.9
"483",1739,2.2031765,3.8958
"484",1740,2.5938307,3.8958
"485",1741,2.8676995,3.9042
"486",1742,2.5415023,3.925
"487",1743,2.3320904,3.9292
"488",1744,2.086391,3.9625
"489",1745,2.1265911,3.8958
"490",1746,2.3924394,3.8958
"491",1747,2.3119415,3.9
"492",1748,2.4125883,3.8917
"493",1749,2.4528861,3.8917
"494",1750,2.3763985,3.8917
"495",1751,2.3119415,3.8917
"496",1752,2.4207066,3.9125
"497",1753,2.3562496,3.9208
"498",1754,2.4770453,3.8917
"499",1755,2.3279824,3.8958
"500",1756,2.4247168,3.8917
"501",1757,2.9523054,3.8958
"502",1758,2.944285,3.9708
"503",1759,2.7106162,3.9417
"504",1760,2.5898205,3.9417
"505",1761,2.4730351,3.95
"506",1762,2.5696716,4.0208
"507",1763,2.6381388,3.9125
"508",1764,2.8718076,3.9
"509",1765,2.9724543,3.9125
"510",1766,3.0087419,3.9625
"511",1767,3.1818661,3.9333
"512",1768,3.1456763,3.9792
"513",1769,2.8878484,4.0167
"514",1770,2.8758178,3.9375
"515",1771,3.1215172,4.05
"516",1772,3.4558327,3.9
"517",1773,3.4437043,3.8875
"518",1774,3.4758838,3.8792
"519",1775,3.2826107,3.8792
"520",1776,3.2101333,3.8792
"521",1777,3.1980048,3.8792
"522",1778,3.3269188,3.8792
"523",1779,3.0449317,3.875
"524",1780,2.9402748,3.875
"525",1781,3.0610704,3.875
"526",1782,3.0610704,3.8875
"527",1783,3.1167245,3.9
"528",1784,3.0346617,3.8917
"529",1785,2.8676995,3.875
"530",1786,2.8149798,3.875
"531",1787,2.8970426,3.875
"532",1788,2.9790076,3.875
"533",1789,3.1459698,3.875
"534",1790,3.2543436,3.875
"535",1791,3.1459698,3.875
"536",1792,3.0903157,3.875
"537",1793,3.3099976,3.875
"538",1794,3.3920604,3.875
"539",1795,4.0276316,3.875
"540",1796,4.2210025,3.875
"541",1797,3.6673964,3.894
"542",1798,3.6146766,3.888
"543",1799,4.1096944,3.888
"544",1800,5.5157172,4
"545",1801,6.163319,4
"546",1802,4.7447766,4
"547",1803,4.4631808,4
"548",1804,4.6075487,4
"549",1805,5.3537434,4
"550",1806,5.1179228,4
"551",1807,5.0228512,4
"552",1808,5.1953885,4
"553",1809,5.6987202,4
"554",1810,5.8782021,4.225
"555",1811,5.7092837,4.9
"556",1812,6.4625207,5.35
"557",1813,6.6208755,5.5
"558",1814,5.7797071,4.25
"559",1815,5.163698,4.15
"560",1816,4.7306919,3.925
"561",1817,5.3713492,3.95
"562",1818,5.3854339,4.075
"563",1819,5.2516294,3.925
"564",1820,4.7623824,3.894
"565",1821,4.1886273,3.894
"566",1822,3.6220124,3.875
"567",1823,3.8683965,3.875
"568",1824,4.1991908,3.888
"569",1825,4.9278774,3.875
"570",1826,4.6568451,3.875
"571",1827,4.3541223,3.875
"572",1828,4.2273602,3.888
"573",1829,4.1851062,3.888
"574",1830,4.0337937,3.888
"575",1831,4.4351092,3.894
"576",1832,4.1077382,3.888
"577",1833,3.857833,3.888
"578",1834,3.5586313,3.888
"579",1835,3.6184912,3.888
"580",1836,4.0161878,3.888
"581",1837,4.1147806,3.888
"582",1838,4.1429499,3.894
"583",1839,4.4455749,3.888
"584",1840,4.5265618,3.888
"585",1841,4.4210245,3.888
"586",1842,4.0866112,3.888
"587",1843,3.6255336,3.888
"588",1844,3.6220124,3.888
"589",1845,3.7979731,3.888
"590",1846,3.9492856,3.888
"591",1847,4.4245457,3.888
"592",1848,3.8895235,3.888
"593",1849,3.6430416,3.888
"594",1850,3.412098,3.888
"595",1851,3.2902374,3.888
"596",1852,3.2902374,3.888
"597",1853,3.6151991,3.888
"598",1854,4.1432619,3.888
"599",1855,4.2651225,3.888
"600",1856,4.2651225,3.888
"601",1857,4.0620214,3.888
"602",1858,3.6964395,3.888
"603",1859,3.6558193,3.888
"604",1860,3.7776799,3.888
"605",1861,3.8589204,3.888
"606",1862,3.7776799,3.888
"607",1863,3.6558193,3.891
"608",1864,3.6151991,3.89
"609",1865,3.6558193,3.888
"610",1866,3.8589204,3.888
"611",1867,4.1026416,3.888
"612",1868,4.0620214,3.888
"613",1869,3.8589204,3.889
"614",1870,3.8589204,3.888
"615",1871,3.8995406,3.888
"616",1872,4.0620214,3.888
"617",1873,4.2245023,3.888
"618",1874,4.0620214,3.89
"619",1875,3.980781,3.891
"620",1876,3.980781,3.888
"621",1877,3.9401608,3.888
"622",1878,3.8589204,3.888
"623",1879,3.6964395,3.89
"624",1880,3.8183001,3.891
"625",1881,3.7776799,3.889
"626",1882,3.8183001,3.89
"627",1883,3.7776799,3.888
"628",1884,3.6964395,3.888
"629",1885,3.5745789,3.892
"630",1886,3.5339586,3.888
"631",1887,3.4933384,3.888
"632",1888,3.5339586,3.89
"633",1889,3.5745789,3.89
"634",1890,3.5745789,3.89
"635",1891,3.6151991,3.896
"636",1892,3.6151991,3.898
"637",1893,3.5745789,3.899
"638",1894,3.5339586,3.888
"639",1895,3.4933384,3.888
"640",1896,3.4527182,3.895
"641",1897,3.5339586,3.899
"642",1898,3.5339586,3.9
"643",1899,3.5745789,3.89
"644",1900,3.7370597,3.898
"645",1901,3.7370597,3.89
"646",1902,3.7370597,3.891
"647",1903,3.7776799,3.9
"648",1904,3.7776799,3.893
"649",1905,3.7776799,3.892
"650",1906,3.7776799,3.888
"651",1907,3.8183001,3.898
"652",1908,3.8183001,3.896
"653",1909,3.8589204,3.888
"654",1910,3.8995406,3.888
"655",1911,3.8995406,3.888
"656",1912,4.0214012,3.888
"657",1913,3.980781,3.888
"658",1914,3.9807805,4.2597
"659",1915,4.8592146,4.3643
"660",1916,5.9390401,4.3465
"661",1917,6.6589237,4.3505
"662",1918,7.9187201,4.3442
"663",1919,8.0987888,5.512
"664",1920,9.5384583,5.8638
"665",1921,6.9109808,4.9141
"666",1922,6.4069644,4.462
"667",1923,6.3709702,4.7862
"668",1924,6.4790506,4.3769
"669",1925,6.2989819,4.25
"670",1926,6.2989819,4.2453125
"671",1927,6.0470226,4.2442708
"672",1928,6.0110284,4.2479167
"673",1929,5.9750342,4.2458333
"674",1930,5.5071099,4.2317708
"675",1931,5.2912426,5.7645833
"676",1932,5.1123476,6.3354167
"677",1933,5.1123476,6.2916667
"678",1934,5.1477549,7.0697917
"679",1935,5.289482,7.0541667
"680",1936,5.4370777,7.0854167
"681",1937,5.7263027,6.9875
"682",1938,5.5788048,7.4427083
"683",1939,6.2635746,8.8525
"684",1940,7.0545663,8.5502
"685",1941,7.202162,8.8035
"686",1942,7.1430846,8.8035
"687",1943,7.1430846,9.0796
"688",1944,7.2611416,9.0174
"689",1945,7.3166,9.2547
"690",1946,7.3166,9.5031
"691",1947,7.5873208,10.6618
"692",1948,7.9604677,10.4169
"693",1949,8.2384987,14.4612
"694",1950,8.5018966,14.3683
"695",1951,9.5262215,14.3812
"696",1952,10.1307561,13.7742
"697",1953,10.2373956,12.6308
"698",1954,10.6445647,12.6544
"699",1955,11.265013,12.5424
"700",1956,11.6079252,12.6364
"701",1957,12.1467844,12.5476
"702",1958,12.371309,12.5799
"703",1959,12.371309,12.5915
"704",1960,12.5958337,13.018
"705",1961,13.1459191,12.642
"706",1962,13.4942118,12.6137
"707",1963,13.7448374,12.6032
"708",1964,14.4043785,12.6703
"709",1965,15.0507289,12.6673
"710",1966,15.6047434,12.6882
"711",1967,15.9872773,14.7505
"712",1968,16.9370165,18.2398
"713",1969,17.7284659,14.7568
"714",1970,19.1266931,15.7072
"715",1971,20.8546909,17.1523
"716",1972,22.4507805,27.7683
"717",1973,24.8251286,49.3003
"718",1974,29.6,83.17
"719",1975,37,74.4986
"720",1976,42.6,85.2777
"721",1977,47.8,93.3333
"722",1978,51.8,119.8434
"723",1979,60.7,261.3231
"724",1980,69.9,267.7244
"725",1981,78.3,224.7261
"726",1982,82.5,299.7216
"727",1983,86.9,285.9111
"728",1984,90.9,286.0967
"729",1985,96,246.1432
"730",1986,99.6,293.677
"731",1987,103.3,277.1506
"732",1988,110.3,243.7946
"733",1989,118.8,269.0255
"734",1990,129.9,219.3582
"735",1991,135.7,203.6997
"736",1992,139.2,235.9603
"737",1993,141.9,284.0686
"738",1994,146,261.6858
"739",1995,150.7,248.7742
"740",1996,154.4,214.8364
"741",1997,160,175.3491
"742",1998,164.4,174.1339
"743",1999,167.3,177.7324
"744",2000,172.2,181.9549
"745",2001,173.4,191.6649
"746",2002,178.5,215.2079
"747",2003,183.5,232.381
"748",2004,189.9,228.3674
"749",2005,194.1,300.5055
"750",2006,202.7,324.8417
"751",2007,210.9,419.8116
"752",2008,212.9,600.4376
"753",2009,218,678.284
"754",2010,228.4,909.725505
"755",2011,239.4,1121.69416
