"","Date","CPI","Silver"
"1",1257,0.4414265,23.243
"2",1258,0.475071,23.243
"3",1259,0.475071,23.243
"4",1260,0.475071,23.243
"5",1261,0.475071,23.243
"6",1262,0.475071,23.243
"7",1263,0.3292575,23.347
"8",1264,0.3343395,23.347
"9",1265,0.3222549,23.347
"10",1266,0.3343395,23.347
"11",1267,0.3343395,23.347
"12",1268,0.281973,23.347
"13",1269,0.3343395,23.347
"14",1270,0.3689866,23.347
"15",1271,0.3947618,23.347
"16",1272,0.5235784,23.347
"17",1273,0.3947623,23.347
"18",1274,0.3826338,23.347
"19",1275,0.4027827,23.347
"20",1276,0.386644,23.347
"21",1277,0.3906542,23.347
"22",1278,0.4148134,23.347
"23",1279,0.3786236,23.347
"24",1280,0.3786236,23.347
"25",1281,0.3746134,23.347
"26",1282,0.4189214,23.347
"27",1283,0.4470908,23.347
"28",1284,0.4832806,23.347
"29",1285,0.3343155,23.347
"30",1286,0.3664951,23.347
"31",1287,0.3664951,23.347
"32",1288,0.2900075,23.347
"33",1289,0.277879,23.347
"34",1290,0.3221871,23.347
"35",1291,0.4269419,23.347
"36",1292,0.386644,23.347
"37",1293,0.3746134,23.347
"38",1294,0.4430806,23.347
"39",1295,0.5275886,23.347
"40",1296,0.4189214,23.347
"41",1297,0.3746134,23.347
"42",1298,0.4269419,23.347
"43",1299,0.386644,23.347
"44",1300,0.4551112,23.347
"45",1301,0.3584747,23.347
"46",1302,0.3746134,23.347
"47",1303,0.3584747,23.347
"48",1304,0.3786236,23.347
"49",1305,0.3906542,23.347
"50",1306,0.4027827,23.347
"51",1307,0.3786236,23.347
"52",1308,0.4229316,23.347
"53",1309,0.4792704,23.347
"54",1310,0.5437273,23.347
"55",1311,0.4954091,23.347
"56",1312,0.4349623,23.347
"57",1313,0.4067929,23.347
"58",1314,0.451101,23.347
"59",1315,0.5316967,23.347
"60",1316,0.8700224,23.347
"61",1317,0.8659144,23.347
"62",1318,0.6203128,23.347
"63",1319,0.4792704,24.306
"64",1320,0.4269419,24.306
"65",1321,0.4873886,24.306
"66",1322,0.5678865,24.306
"67",1323,0.6646208,24.306
"68",1324,0.5518456,24.306
"69",1325,0.5115478,24.306
"70",1326,0.4994193,24.306
"71",1327,0.386644,24.306
"72",1328,0.386644,25.746
"73",1329,0.4792704,25.746
"74",1330,0.4832806,25.746
"75",1331,0.5397171,25.746
"76",1332,0.5275886,25.746
"77",1333,0.4470908,25.746
"78",1334,0.3987725,25.746
"79",1335,0.386644,28.829
"80",1336,0.4067929,28.829
"81",1337,0.4470908,28.829
"82",1338,0.342336,28.829
"83",1339,0.3181768,28.829
"84",1340,0.386644,28.829
"85",1341,0.3463462,28.829
"86",1342,0.342336,28.829
"87",1343,0.3383257,28.829
"88",1344,0.3906542,28.829
"89",1345,0.3947623,28.829
"90",1346,0.3544644,28.829
"91",1347,0.4390703,28.829
"92",1348,0.4672397,28.829
"93",1349,0.3906542,28.829
"94",1350,0.4108032,28.829
"95",1351,0.5397171,28.829
"96",1352,0.6444719,28.829
"97",1353,0.5558558,28.829
"98",1354,0.4712499,28.829
"99",1355,0.4632295,28.829
"100",1356,0.4873886,28.829
"101",1357,0.5357069,28.829
"102",1358,0.559866,28.829
"103",1359,0.5075375,28.829
"104",1360,0.5437273,28.829
"105",1361,0.5275886,28.829
"106",1362,0.6162047,28.829
"107",1363,0.624323,28.829
"108",1364,0.6081843,28.829
"109",1365,0.5760047,28.829
"110",1366,0.4873886,28.829
"111",1367,0.5518456,28.829
"112",1368,0.559866,28.829
"113",1369,0.6041741,28.829
"114",1370,0.7411085,28.829
"115",1371,0.6605128,28.829
"116",1372,0.5316967,28.829
"117",1373,0.5275886,28.829
"118",1374,0.5034295,28.829
"119",1375,0.5034295,28.829
"120",1376,0.5880354,28.829
"121",1377,0.451101,28.829
"122",1378,0.3826338,28.829
"123",1379,0.3786236,28.829
"124",1380,0.4269419,28.829
"125",1381,0.4792704,28.829
"126",1382,0.4470908,28.829
"127",1383,0.4349623,28.829
"128",1384,0.4672397,28.829
"129",1385,0.451101,28.829
"130",1386,0.4189214,28.829
"131",1387,0.4027827,28.829
"132",1388,0.4108032,28.829
"133",1389,0.4027827,28.829
"134",1390,0.4269419,28.829
"135",1391,0.5357069,28.829
"136",1392,0.4189214,28.829
"137",1393,0.4027827,28.829
"138",1394,0.4067929,28.829
"139",1395,0.3746134,28.829
"140",1396,0.3987725,34.595
"141",1397,0.4672397,34.595
"142",1398,0.4873886,34.595
"143",1399,0.4551112,34.595
"144",1400,0.4189214,34.595
"145",1401,0.5235784,34.595
"146",1402,0.5115478,34.595
"147",1403,0.4792704,34.595
"148",1404,0.3987725,34.595
"149",1405,0.3987725,34.595
"150",1406,0.4027827,34.595
"151",1407,0.3987725,34.595
"152",1408,0.4309521,34.595
"153",1409,0.4832806,34.595
"154",1410,0.5235784,34.595
"155",1411,0.4269419,34.595
"156",1412,0.4148134,34.595
"157",1413,0.4349623,34.595
"158",1414,0.4349623,34.595
"159",1415,0.4632295,34.595
"160",1416,0.4994193,34.595
"161",1417,0.5195682,34.595
"162",1418,0.4591214,34.595
"163",1419,0.3826338,34.595
"164",1420,0.4108032,34.595
"165",1421,0.3746134,34.595
"166",1422,0.3906542,34.595
"167",1423,0.4349623,34.595
"168",1424,0.4148134,34.595
"169",1425,0.4390703,34.595
"170",1426,0.4148134,34.595
"171",1427,0.386644,34.595
"172",1428,0.3987725,34.595
"173",1429,0.5115478,34.595
"174",1430,0.5558558,34.595
"175",1431,0.4632295,34.595
"176",1432,0.4108032,34.595
"177",1433,0.451101,34.595
"178",1434,0.4390703,34.595
"179",1435,0.4229316,34.595
"180",1436,0.3826338,34.595
"181",1437,0.3746134,34.595
"182",1438,0.515558,34.595
"183",1439,0.6203128,34.595
"184",1440,0.5638762,34.595
"185",1441,0.3746134,34.595
"186",1442,0.342336,34.595
"187",1443,0.3906542,34.595
"188",1444,0.4108032,34.595
"189",1445,0.3504542,34.595
"190",1446,0.3826338,34.595
"191",1447,0.4027827,34.595
"192",1448,0.4108032,34.595
"193",1449,0.4269419,43.243
"194",1450,0.4108032,43.243
"195",1451,0.4390703,43.243
"196",1452,0.3906542,43.243
"197",1453,0.3906542,43.243
"198",1454,0.4229316,43.243
"199",1455,0.3786236,43.243
"200",1456,0.4067929,43.243
"201",1457,0.3746134,43.243
"202",1458,0.3987725,43.243
"203",1459,0.3826338,43.243
"204",1460,0.3906542,43.243
"205",1461,0.4712499,43.243
"206",1462,0.4632295,43.243
"207",1463,0.3544644,43.243
"208",1464,0.3463462,43.243
"209",1465,0.4349623,43.243
"210",1466,0.4390703,43.243
"211",1467,0.4349623,43.243
"212",1468,0.4269419,43.243
"213",1469,0.4309521,43.243
"214",1470,0.4108032,43.243
"215",1471,0.4148134,43.243
"216",1472,0.4189214,43.243
"217",1473,0.3906542,43.243
"218",1474,0.3826338,43.243
"219",1475,0.3624849,43.243
"220",1476,0.342336,43.243
"221",1477,0.3261973,43.243
"222",1478,0.3584747,43.243
"223",1479,0.3906542,43.243
"224",1480,0.4148134,43.243
"225",1481,0.4632295,43.243
"226",1482,0.5840252,43.243
"227",1483,0.6524924,43.243
"228",1484,0.515558,43.243
"229",1485,0.3987725,43.243
"230",1486,0.3463462,43.243
"231",1487,0.4148134,43.243
"232",1488,0.4430806,43.243
"233",1489,0.4390703,43.243
"234",1490,0.4269419,43.243
"235",1491,0.451101,43.243
"236",1492,0.4148134,43.243
"237",1493,0.4712499,43.243
"238",1494,0.386644,43.243
"239",1495,0.3584747,43.243
"240",1496,0.3786236,43.243
"241",1497,0.4067929,43.243
"242",1498,0.386644,43.243
"243",1499,0.3987725,43.243
"244",1500,0.3786236,43.243
"245",1501,0.4309521,43.243
"246",1502,0.4913988,43.243
"247",1503,0.4591214,43.243
"248",1504,0.4309521,43.243
"249",1505,0.4148134,43.243
"250",1506,0.4269419,43.243
"251",1507,0.3947623,43.243
"252",1508,0.4027827,48.649
"253",1509,0.3705053,48.649
"254",1510,0.4148134,48.649
"255",1511,0.3906542,48.649
"256",1512,0.4067929,48.649
"257",1513,0.4832806,48.649
"258",1514,0.4752601,48.649
"259",1515,0.4309521,48.649
"260",1516,0.4430806,48.649
"261",1517,0.4470908,48.649
"262",1518,0.4672397,48.649
"263",1519,0.5195682,48.649
"264",1520,0.5518456,48.649
"265",1521,0.6726413,48.649
"266",1522,0.6444719,48.649
"267",1523,0.5477376,48.649
"268",1524,0.5357069,48.649
"269",1525,0.5195682,48.649
"270",1526,0.5357069,51.892
"271",1527,0.5920456,51.892
"272",1528,0.7209596,51.892
"273",1529,0.6403639,51.892
"274",1530,0.6806617,51.892
"275",1531,0.6203128,51.892
"276",1532,0.7209596,51.892
"277",1533,0.6806617,51.892
"278",1534,0.5840252,51.892
"279",1535,0.5275886,51.892
"280",1536,0.6605128,64.865
"281",1537,0.624323,64.865
"282",1538,0.5558558,64.865
"283",1539,0.5920456,64.865
"284",1540,0.6363537,64.865
"285",1541,0.6646208,64.865
"286",1542,0.6927902,64.865
"287",1543,0.68878,64.865
"288",1544,0.7169493,64.865
"289",1545,0.7692778,64.865
"290",1546,0.9988386,64.865
"291",1547,0.9303714,64.865
"292",1548,0.7773961,64.865
"293",1549,0.8619042,64.865
"294",1550,1.0552751,64.865
"295",1551,1.1479014,64.865
"296",1552,1.1116138,64.865
"297",1553,1.0431466,64.865
"298",1554,1.1116138,64.865
"299",1555,1.0874547,64.865
"300",1556,1.4902374,64.865
"301",1557,1.6473207,64.865
"302",1558,0.9263611,64.865
"303",1559,1.0271057,64.865
"304",1560,1.0673057,64.865
"305",1561,1.139881,64.865
"306",1562,1.0714138,64.865
"307",1563,1.0874547,64.865
"308",1564,1.1277525,64.865
"309",1565,1.1680503,64.865
"310",1566,1.1559219,64.865
"311",1567,1.1357729,64.865
"312",1568,1.1317627,64.865
"313",1569,1.1116138,64.865
"314",1570,1.2083482,64.865
"315",1571,1.0673057,64.865
"316",1572,1.0874547,64.865
"317",1573,1.1035934,64.865
"318",1574,1.1035934,64.865
"319",1575,1.1680503,64.865
"320",1576,1.244538,64.865
"321",1577,1.462068,64.865
"322",1578,1.4137498,64.865
"323",1579,1.3130052,64.865
"324",1580,1.3774621,64.865
"325",1581,1.3976111,64.865
"326",1582,1.3814724,64.865
"327",1583,1.3049847,64.865
"328",1584,1.3412723,64.865
"329",1585,1.3613234,67.005
"330",1586,1.41776,67.005
"331",1587,1.977626,67.005
"332",1588,1.3936008,67.005
"333",1589,1.4257804,67.005
"334",1590,1.5949922,67.005
"335",1591,1.8487121,67.005
"336",1592,1.4902374,67.005
"337",1593,1.4338987,67.005
"338",1594,1.5345454,67.005
"339",1595,2.0742626,67.005
"340",1596,2.0339647,67.005
"341",1597,2.7590323,67.005
"342",1598,2.3320904,67.005
"343",1599,1.9091588,67.005
"344",1600,1.8487121,67.005
"345",1601,2.1588684,67.005
"346",1602,1.8970303,67.005
"347",1603,1.804404,67.005
"348",1604,1.6271718,67.005
"349",1605,1.804404,67.005
"350",1606,1.8849997,67.005
"351",1607,1.8084142,67.005
"352",1608,2.042083,67.005
"353",1609,2.2514948,67.005
"354",1610,2.0259443,67.005
"355",1611,1.8648508,67.005
"356",1612,2.1105502,67.005
"357",1613,2.2111969,67.005
"358",1614,2.2836744,67.005
"359",1615,2.2595152,67.005
"360",1616,2.2636233,67.005
"361",1617,2.1628787,67.005
"362",1618,2.1105502,67.005
"363",1619,1.9896567,67.005
"364",1620,1.9534669,67.005
"365",1621,1.8567325,67.005
"366",1622,2.1065399,67.005
"367",1623,2.3682802,67.005
"368",1624,2.1870378,67.005
"369",1625,2.150848,67.005
"370",1626,2.2233254,67.005
"371",1627,1.9977749,67.005
"372",1628,1.8768814,67.005
"373",1629,2.0541136,67.005
"374",1630,2.3964496,67.005
"375",1631,2.7469038,67.005
"376",1632,2.3361007,67.005
"377",1633,2.2756539,67.005
"378",1634,2.4609066,67.005
"379",1635,2.4045679,67.005
"380",1636,2.3884292,67.005
"381",1637,2.5012044,67.005
"382",1638,2.8476484,67.005
"383",1639,2.4448657,67.005
"384",1640,2.1991663,67.005
"385",1641,2.3602598,67.005
"386",1642,2.2434743,67.005
"387",1643,2.2273356,67.005
"388",1644,2.1387195,67.005
"389",1645,2.3119415,67.005
"390",1646,2.2917926,67.005
"391",1647,2.6864571,67.005
"392",1648,3.1013683,67.005
"393",1649,3.3067699,67.005
"394",1650,3.3792473,67.005
"395",1651,2.8355199,67.005
"396",1652,2.6099694,67.005
"397",1653,2.3320904,67.005
"398",1654,2.1870378,67.005
"399",1655,2.1387195,67.005
"400",1656,2.2514948,67.005
"401",1657,2.4650146,67.005
"402",1658,2.601949,67.005
"403",1659,2.8193812,67.005
"404",1660,2.7549243,67.005
"405",1661,2.6099694,67.005
"406",1662,3.0973581,67.005
"407",1663,2.7187345,67.005
"408",1664,2.6462571,67.005
"409",1665,2.4810555,67.005
"410",1666,2.6744264,67.005
"411",1667,2.3239722,67.005
"412",1668,2.4247168,67.005
"413",1669,2.3038233,67.005
"414",1670,2.3239722,67.005
"415",1671,2.3964496,67.005
"416",1672,2.2434743,67.005
"417",1673,2.3562496,67.005
"418",1674,2.6179899,67.005
"419",1675,2.7831914,67.005
"420",1676,2.6261081,67.005
"421",1677,2.3844189,67.005
"422",1678,2.5495227,67.005
"423",1679,2.4730351,67.005
"424",1680,2.2877824,67.005
"425",1681,2.2836744,67.005
"426",1682,2.4165985,67.005
"427",1683,2.36427,67.005
"428",1684,2.2958028,67.005
"429",1685,2.6220001,67.005
"430",1686,2.2514948,67.005
"431",1687,2.3361007,64.99
"432",1688,2.2193152,64.99
"433",1689,2.1548582,64.64
"434",1690,2.0662421,64.64
"435",1691,1.9856464,64.81
"436",1692,2.1830276,65.07
"437",1693,2.6261081,65.47
"438",1694,2.7912119,65.29
"439",1695,2.597841,64.64
"440",1696,2.8073506,71.2
"441",1697,2.7912119,70.26
"442",1698,3.0892398,70.87
"443",1699,3.1133989,69.86
"444",1700,2.7025958,70.47
"445",1701,2.3602598,69.26
"446",1702,2.3441211,67.25
"447",1703,2.2193152,68.8
"448",1704,2.36427,68.58
"449",1705,2.2071867,69.08
"450",1706,2.3481313,68.35
"451",1707,2.1387195,67.6
"452",1708,2.2998131,67.73
"453",1709,2.8073506,68.17
"454",1710,3.2141435,68.58
"455",1711,3.5806386,68.26
"456",1712,2.5696716,68.17
"457",1713,2.3924394,68.49
"458",1714,2.5576409,68.98
"459",1715,2.601949,69.08
"460",1716,2.597841,69.17
"461",1717,2.4247168,67.38
"462",1718,2.3159518,65.25
"463",1719,2.4528861,65
"464",1720,2.5576409,65.5
"465",1721,2.4327372,64
"466",1722,2.2313459,64.125
"467",1723,2.1145604,64.25
"468",1724,2.3722905,64.5
"469",1725,2.4568964,66
"470",1726,2.5656614,65.25
"471",1727,2.4005576,66.5
"472",1728,2.6139797,66.25
"473",1729,2.7428936,66
"474",1730,2.4125883,65.25
"475",1731,2.2273356,64.25
"476",1732,2.2434743,65.5
"477",1733,2.191048,62.75
"478",1734,2.086391,62.25
"479",1735,2.1306991,62.5
"480",1736,2.1708991,63
"481",1737,2.3401109,63.25
"482",1738,2.2676335,64.375
"483",1739,2.2031765,65
"484",1740,2.5938307,67.75
"485",1741,2.8676995,68
"486",1742,2.5415023,66.75
"487",1743,2.3320904,67
"488",1744,2.086391,67.625
"489",1745,2.1265911,60
"490",1746,2.3924394,65
"491",1747,2.3119415,63.5
"492",1748,2.4125883,64.75
"493",1749,2.4528861,63.75
"494",1750,2.3763985,64
"495",1751,2.3119415,64.75
"496",1752,2.4207066,65.75
"497",1753,2.3562496,65.625
"498",1754,2.4770453,63.75
"499",1755,2.3279824,64
"500",1756,2.4247168,62.25
"501",1757,2.9523054,64.25
"502",1758,2.944285,67.625
"503",1759,2.7106162,65.75
"504",1760,2.5898205,67.75
"505",1761,2.4730351,66
"506",1762,2.5696716,64.5
"507",1763,2.6381388,62.75
"508",1764,2.8718076,63
"509",1765,2.9724543,65
"510",1766,3.0087419,65.125
"511",1767,3.1818661,64.125
"512",1768,3.1456763,66
"513",1769,2.8878484,66.25
"514",1770,2.8758178,66
"515",1771,3.1215172,66.75
"516",1772,3.4558327,64
"517",1773,3.4437043,61.5
"518",1774,3.4758838,63.25
"519",1775,3.2826107,63.5
"520",1776,3.2101333,66.5
"521",1777,3.1980048,68.5
"522",1778,3.3269188,61.25
"523",1779,3.0449317,62.5
"524",1780,2.9402748,66
"525",1781,3.0610704,67.5
"526",1782,3.0610704,67.5
"527",1783,3.1167245,63.25
"528",1784,3.0346617,60.5
"529",1785,2.8676995,61.25
"530",1786,2.8149798,61.5
"531",1787,2.8970426,61.75
"532",1788,2.9790076,62
"533",1789,3.1459698,60.75
"534",1790,3.2543436,61.75
"535",1791,3.1459698,63
"536",1792,3.0903157,63
"537",1793,3.3099976,60
"538",1794,3.3920604,60.5
"539",1795,4.0276316,65.2
"540",1796,4.2210025,65
"541",1797,3.6673964,60.5
"542",1798,3.6146766,60.5
"543",1799,4.1096944,68
"544",1800,5.5157172,68
"545",1801,6.163319,71
"546",1802,4.7447766,67
"547",1803,4.4631808,68
"548",1804,4.6075487,65
"549",1805,5.3537434,70
"550",1806,5.1179228,70
"551",1807,5.0228512,66
"552",1808,5.1953885,66
"553",1809,5.6987202,66
"554",1810,5.8782021,66
"555",1811,5.7092837,74
"556",1812,6.4625207,76
"557",1813,6.6208755,83
"558",1814,5.7797071,67.125
"559",1815,5.163698,68.375
"560",1816,4.7306919,61.125
"561",1817,5.3713492,63
"562",1818,5.3854339,64.5
"563",1819,5.2516294,62
"564",1820,4.7623824,59.5
"565",1821,4.1886273,59.5
"566",1822,3.6220124,59.5
"567",1823,3.8683965,59
"568",1824,4.1991908,60.5
"569",1825,4.9278774,61.25
"570",1826,4.6568451,59.5
"571",1827,4.3541223,60.25
"572",1828,4.2273602,59.875
"573",1829,4.1851062,59.375
"574",1830,4.0337937,59.75
"575",1831,4.4351092,60.125
"576",1832,4.1077382,58.75
"577",1833,3.857833,59.875
"578",1834,3.5586313,59.8125
"579",1835,3.6184912,59.625
"580",1836,4.0161878,59.9375
"581",1837,4.1147806,59.5
"582",1838,4.1429499,60.25
"583",1839,4.4455749,60.25
"584",1840,4.5265618,60.375
"585",1841,4.4210245,59.75
"586",1842,4.0866112,59.1875
"587",1843,3.6255336,59.25
"588",1844,3.6220124,59.5
"589",1845,3.7979731,59.1875
"590",1846,3.9492856,60.125
"591",1847,4.4245457,59.125
"592",1848,3.8895235,59.5
"593",1849,3.6430416,59.5625
"594",1850,3.412098,61.5
"595",1851,3.2902374,60.75
"596",1852,3.2902374,61.3125
"597",1853,3.6151991,61.75
"598",1854,4.1432619,61.375
"599",1855,4.2651225,61.375
"600",1856,4.2651225,61.625
"601",1857,4.0620214,62.1875
"602",1858,3.6964395,61.5
"603",1859,3.6558193,62
"604",1860,3.7776799,61.3125
"605",1861,3.8589204,61.125
"606",1862,3.7776799,61.5625
"607",1863,3.6558193,61.5625
"608",1864,3.6151991,61.375
"609",1865,3.6558193,61.71875
"610",1866,3.8589204,60.8125
"611",1867,4.1026416,60.4375
"612",1868,4.0620214,60.8125
"613",1869,3.8589204,60.5
"614",1870,3.8589204,60.5625
"615",1871,3.8995406,61.1875
"616",1872,4.0620214,59.625
"617",1873,4.2245023,58.03125
"618",1874,4.0620214,57.5
"619",1875,3.980781,56.25
"620",1876,3.980781,56.875
"621",1877,3.9401608,54
"622",1878,3.8589204,49.78125
"623",1879,3.6964395,52.6875
"624",1880,3.8183001,51.8125
"625",1881,3.7776799,51.875
"626",1882,3.8183001,50.4375
"627",1883,3.7776799,50.75
"628",1884,3.6964395,49.6875
"629",1885,3.5745789,47.1875
"630",1886,3.5339586,45.6875
"631",1887,3.4933384,44.46875
"632",1888,3.5339586,42.59375
"633",1889,3.5745789,44.0625
"634",1890,3.5745789,48.375
"635",1891,3.6151991,43.875
"636",1892,3.6151991,38.5
"637",1893,3.5745789,32.03125
"638",1894,3.5339586,27.84375
"639",1895,3.4933384,30.34375
"640",1896,3.4527182,29.90625
"641",1897,3.5339586,26.84375
"642",1898,3.5339586,27.4375
"643",1899,3.5745789,27.125
"644",1900,3.7370597,29.6875
"645",1901,3.7370597,25.34375
"646",1902,3.7370597,21.90625
"647",1903,3.7776799,25.71875
"648",1904,3.7776799,27.96875
"649",1905,3.7776799,30.15625
"650",1906,3.7776799,31.96875
"651",1907,3.8183001,25.46875
"652",1908,3.8183001,22.78125
"653",1909,3.8589204,23.9375
"654",1910,3.8995406,25.28125
"655",1911,3.8995406,25.375
"656",1912,4.0214012,29.21875
"657",1913,3.980781,26.59375
"658",1914,3.9807805,22.8125
"659",1915,4.8592146,26.40625
"660",1916,5.9390401,36.46875
"661",1917,6.6589237,43.125
"662",1918,7.9187201,48.59375
"663",1919,8.0987888,76.3125
"664",1920,9.5384583,41.8125
"665",1921,6.9109808,43.125
"666",1922,6.4069644,48.5938
"667",1923,6.3709702,76.125
"668",1924,6.4790506,32.753
"669",1925,6.2989819,31.835
"670",1926,6.2989819,24.8125
"671",1927,6.0470226,26.71875
"672",1928,6.0110284,26.4375
"673",1929,5.9750342,22
"674",1930,5.5071099,15.34375
"675",1931,5.2912426,19.90625
"676",1932,5.1123476,17.1875
"677",1933,5.1123476,18.75
"678",1934,5.1477549,24.34375
"679",1935,5.289482,25.34375
"680",1936,5.4370777,21.125
"681",1937,5.7263027,19
"682",1938,5.5788048,20.09375
"683",1939,6.2635746,23.263
"684",1940,7.0545663,23.015
"685",1941,7.202162,23.5
"686",1942,7.1430846,23.5
"687",1943,7.1430846,23.5
"688",1944,7.2611416,23.5
"689",1945,7.3166,44
"690",1946,7.3166,55.5
"691",1947,7.5873208,45
"692",1948,7.9604677,42.5
"693",1949,8.2384987,64
"694",1950,8.5018966,70
"695",1951,9.5262215,77
"696",1952,10.1307561,72.577
"697",1953,10.2373956,73.821
"698",1954,10.6445647,74.25
"699",1955,11.265013,78.231
"700",1956,11.6079252,80.099
"701",1957,12.1467844,77.325
"702",1958,12.371309,76.167
"703",1959,12.371309,80.25
"704",1960,12.5958337,79.463
"705",1961,13.1459191,87.138
"706",1962,13.4942118,103.224
"707",1963,13.7448374,111.75
"708",1964,14.4043785,112.125
"709",1965,15.0507289,111.375
"710",1966,15.6047434,111.967
"711",1967,15.9872773,209.342
"712",1968,16.9370165,199.25
"713",1969,17.7284659,180.512
"714",1970,19.1266931,163.665
"715",1971,20.8546909,54.823
"716",1972,22.4507805,83.163
"717",1973,24.8251286,133.258
"718",1974,29.6,189.59
"719",1975,37,202.19
"720",1976,42.6,255.378
"721",1977,47.8,254.72
"722",1978,51.8,298.86
"723",1979,60.7,931.07
"724",1980,69.9,700.76
"725",1981,78.3,513.23
"726",1982,82.5,654.5
"727",1983,86.9,639.59
"728",1984,90.9,561.04
"729",1985,96,405.21
"730",1986,99.6,373.1
"731",1987,103.3,600
"732",1988,110.3,609.8
"733",1989,118.8,670.721871
"734",1990,129.9,450.7774968
"735",1991,135.7,431.1694058
"736",1992,139.2,506.994311
"737",1993,141.9,718.0733249
"738",1994,146,648.6940582
"739",1995,150.7,687.7016435
"740",1996,154.4,576.3318584
"741",1997,160,752.9506953
"742",1998,164.4,636.9292035
"743",1999,167.3,695.7117573
"744",2000,172.2,640.8299621
"745",2001,173.4,667.0714286
"746",2002,178.5,620.2206068
"747",2003,183.5,696.4835651
"748",2004,189.9,744.2939317
"749",2005,194.1,1079.884324
"750",2006,202.7,1366.287611
"751",2007,210.9,1556.04804
"752",2008,212.9,1571.671934
"753",2009,218,2184.883692
"754",2010,228.4,4109.93045
